Date,USD2YB,UK2YB,UK YoY CPI,US YoY CPI,US Industrial Index,UK industrial Index
1989-03-31,9.668,,,,,
1989-04-03,9.528,,,,,
1989-04-04,9.405,,,,,
1989-04-05,9.491,,,,,
1989-04-06,9.526,,,,,
1989-04-07,9.559,,,,,
1989-04-10,9.559,,,,,
1989-04-11,9.559,,,,,
1989-04-12,9.557,,,,,
1989-04-13,9.646,,,,,
1989-04-14,9.413,,,,,
1989-04-17,9.465,,,,,
1989-04-18,9.252,,,,62.0592,74.3
1989-04-19,9.267,,,,,
1989-04-20,9.427,,,,,
1989-04-21,9.425,,,,,
1989-04-24,9.425,,,,,
1989-04-25,9.352,,,,,
1989-04-26,9.351,,,,,
1989-04-27,9.205,,,,,
1989-04-28,9.276,,,,,
1989-04-30,,,,,,
1989-05-01,9.329,,,,,
1989-05-02,9.223,,,,,
1989-05-03,9.214,,,,,
1989-05-04,9.187,,,,,
1989-05-05,9.054,,,,,
1989-05-08,9.106,,,,,
1989-05-09,9.212,,,,,
1989-05-10,9.247,,,,,
1989-05-11,9.123,,,,,
1989-05-12,8.821,,,,,
1989-05-15,8.908,,,,,
1989-05-16,8.908,,,,,
1989-05-17,8.951,,,,,
1989-05-18,8.968,,,,62.0424,76.2
1989-05-19,8.94,,,,,
1989-05-22,8.814,,,,,
1989-05-23,8.822,,,,,
1989-05-24,8.866,,,,,
1989-05-25,8.941,,,,,
1989-05-26,8.88,,,,,
1989-05-30,8.854,,,,,
1989-05-31,8.802,,,,,
1989-06-01,8.801,,,,,
1989-06-02,8.478,,,,,
1989-06-05,8.4,,,,,
1989-06-06,8.425,,,,,
1989-06-07,8.329,,,,,
1989-06-08,8.311,,,,,
1989-06-09,8.23,,,,,
1989-06-12,8.299,,,,,
1989-06-13,8.42,,,,,
1989-06-14,8.349,,,,,
1989-06-15,8.437,,,,,
1989-06-16,8.505,,,,,
1989-06-18,,,,,61.6948,74.2
1989-06-19,8.558,,,,,
1989-06-20,8.486,,,,,
1989-06-21,8.575,,,,,
1989-06-22,8.539,,,,,
1989-06-23,8.359,,,,,
1989-06-26,8.349,,,,,
1989-06-27,8.233,,,,,
1989-06-28,8.293,,,,,
1989-06-29,8.146,,,,,
1989-06-30,8.042,,,,,
1989-07-03,8.006,,,,,
1989-07-05,7.962,,,,,
1989-07-06,7.919,,,,,
1989-07-07,7.813,,,,,
1989-07-10,7.786,,,,,
1989-07-11,7.733,,,,,
1989-07-12,7.715,,,,,
1989-07-13,7.757,,,,,
1989-07-14,7.772,,,,,
1989-07-17,7.859,,,,,
1989-07-18,7.981,,,,61.6915,74.2
1989-07-19,7.857,,,,,
1989-07-20,7.874,,,,,
1989-07-21,7.899,,,,,
1989-07-24,7.872,,,,,
1989-07-25,7.809,,,,,
1989-07-26,7.808,,,,,
1989-07-27,7.63,,,,,
1989-07-28,7.553,,,,,
1989-07-31,7.518,,,,,
